Taxa ID,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Species
Ceramonematidae,2176,Ceramonematidae,Animalia,Nematoda,Chromadorea,Plectida,Ceramonematidae,NA,NA
Chromadoridae,2162,Chromadoridae,Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,NA,NA
Ciliophora,11,Ciliophora,Chromista,Ciliophora,NA,NA,NA,NA,NA
Cirratulidae,919,Cirratulidae,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,NA,NA
Cletodes longicaudatus,115769,Cletodes longicaudatus,Animalia,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Cletodes,longicaudatus
Cletodidae,115143,Cletodidae,Animalia,Arthropoda,Copepoda,Harpacticoida,Cletodidae,NA,NA
Comesomatidae,2185,Comesomatidae,Animalia,Nematoda,Chromadorea,Araeolaimida,Comesomatidae,NA,NA
Coninckiidae,2186,Coninckiidae,Animalia,Nematoda,Chromadorea,Araeolaimida,Coninckiidae,NA,NA
Copepoda,1080,Copepoda,Animalia,Arthropoda,Copepoda,NA,NA,NA,NA
Cyatholaimidae,2163,Cyatholaimidae,Animalia,Nematoda,Chromadorea,Chromadorida,Cyatholaimidae,NA,NA
Cyclopoida,1101,Cyclopoida,Animalia,Arthropoda,Copepoda,Cyclopoida,NA,NA,NA
Desmodorella tenuispiculum,230286,Desmodorella tenuispiculum,Animalia,Nematoda,Chromadorea,Desmodorida,Desmodoridae,Desmodorella,tenuispiculum
Desmodoridae,2167,Desmodoridae,Animalia,Nematoda,Chromadorea,Desmodorida,Desmodoridae,NA,NA
Desmoscolecidae,2173,Desmoscolecidae,Animalia,Nematoda,Chromadorea,Desmoscolecida,Desmoscolecidae,NA,NA
Diplopeltidae,2187,Diplopeltidae,Animalia,Nematoda,Chromadorea,Araeolaimida,Diplopeltidae,NA,NA
Dorvilleidae,971,Dorvilleidae,Animalia,Annelida,Polychaeta,Eunicida,Dorvilleidae,NA,NA
Echinodermata,1806,Echinodermata,Animalia,Echinodermata,NA,NA,NA,NA,NA
Echinoidea,123082,Echinoidea,Animalia,Echinodermata,Echinoidea,NA,NA,NA,NA
Ectinosomatidae,115151,Ectinosomatidae,Animalia,Arthropoda,Copepoda,Harpacticoida,Ectinosomatidae,NA,NA
Enoplidae,2196,Enoplidae,Animalia,Nematoda,Enoplea,Enoplida,Enoplidae,NA,NA
Eteone longa,130616,Eteone longa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,longa
Ethmolaimidae,2164,Ethmolaimidae,Animalia,Nematoda,Chromadorea,Chromadorida,Ethmolaimidae,NA,NA
Euphysa aurata,117561,Euphysa aurata,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Corymorphidae,Euphysa,aurata
Eusyllis blomstrandi,131290,Eusyllis blomstrandi,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Eusyllis,blomstrandi
Exogone,129654,Exogone,Animalia,Annelida,Polychaeta,Phyllodocida,Syllidae,Exogone,NA
Fibulariidae,123159,Fibulariidae,Animalia,Echinodermata,Echinoidea,Echinolampadacea,Fibulariidae,NA,NA
