numAuto,surveyCode,stationCode,priority,location,fishing,mud,sand,latitude,longitude,beamSAR,otterSAR,dredgeSAR,totalSAR,poc_kgm2,totalProd_log10,preyProd_log10,mud_pc,sand_pc,gravel_pc,waterDepth,distCoast,,Area,Description,reasoning,Water Depth (m),SedimentDescription,Comments
74,CEND1723,X01,2,celticSea,high,high,low,51.27283667,-6.256723733,0,15.05280523,0,15.38857826,0.7969742,1.2680321,0.6842508,78.12961,21.83241,0.03798,119.7699966,86435.42188,,"SSB spatial station (high C, high impact)",High mud; high trawl,High mud; high trawl,,,
75,CEND1723,X03,2,celticSea,high,high,low,51.23145933,-6.228762333,0,14.64772804,0,14.8734578,0.8358636,1.2996069,0.7513567,77.37961,22.56396,0.05643,119.9199982,87914.30469,,"SSB spatial station (high C, high impact)",High mud; high trawl,High mud; high trawl,,,
76,CEND1723,X12,4,celticSea,high,medium/high,high,51.13750367,-6.530431533,0.124794234,1.087491468,0.000104871,1.497053474,0.5358215,1.2975588,0.9773151,6.73697,92.5587,0.70433,92.4000015,111261.7344,,SSB spatial station (G1 comparison),"high sand, high(er) trawl","high sand, high(er) trawl",,,
77,CEND1723,X15,4,celticSea,medium/high,high,low,51.049257,-6.333378933,0.191702845,0.775695527,0,0.990419586,0.51573,1.5099905,1.0842551,26.98401,70.94808,2.0679,100.5400009,107121.6797,,SSB spatial station (A1 comparison),"high sand, high(er) trawl","high sand, high(er) trawl",,,
78,CEND1723,X21,3,celticSea,medium/high,high,medium/high,50.66944,-7.057756667,0.105119343,0.276516266,0,0.381635609,0.5987926,1.5975502,1.2428443,10.27841,89.17725,0.54433,93.5199966,112787.5625,,SSB spatial station,"high sand, low trawl","high sand, low trawl",,,
79,CEND1723,X22,6,celticSea,medium/high,high,medium/high,50.63838167,-7.083628333,0.135434463,0.736243994,0,0.871678457,0.6551276,1.6060393,1.2388932,17.57131,81.34525,1.08344,92.7799988,112636.9609,,SSB spatial station,"high sand, low trawl - leave out","high sand, low trawl - leave out",,,
80,CEND1723,X25,1,celticSea,medium/high,high,low,50.5102326,-7.190102267,0.026055093,0.273074696,0,0.299129789,0.796946,1.5871631,1.0927463,34.45124,65.50728,0.04148,101.5899963,113217.1953,,SSB spatial station,"high mud, low trawl","high mud, low trawl",,,
81,CEND1723,X33,1,celticSea,medium/high,high,medium/high,50.57962333,-6.91639,0.116145358,0.36623721,0,0.482382568,0.7071724,1.5729641,1.1994736,16.78135,83.03833,0.18032,103.1800003,99140.21875,,SSB spatial station,"high mud, low trawl","high mud, low trawl",,,
82,CEND1723,X34,3,celticSea,medium/high,high,medium/high,50.54739,-6.876003333,0.055639655,0.193819105,0,0.24945876,0.7229204,1.442009,1.1916519,13.12726,86.64896,0.22378,100.4400024,95002.96875,,SSB spatial station,"high sand, low trawl","high sand, low trawl",,,
83,CEND1723,X54,1,celticSea,medium/high,high,medium/high,50.67428,-6.84723,0.191562307,0.267721877,0,0.459284184,0.581489,1.5442977,1.2238818,10.47584,89.18791,0.33624,99.9000015,100902.9688,,SSB spatial station,"high mud, low trawl","high mud, low trawl",,,
84,CEND1723,X55,3,celticSea,medium/high,high,high,50.63729,-6.794766667,0.171779351,0.515223907,0,0.687003258,0.6358775,1.5110127,1.272843,8.52294,90.57173,0.90532,99.0100021,95150.10938,,SSB spatial station,"high sand, low trawl","high sand, low trawl",,,
85,CEND0924,MFRN018,yes,Farnes,high,high,medium/high,55.4915,-1.1377,0.003068064,6.889668159,0,6.892736223,0.8198874,1.830617,1.5433091,13.47941,86.45222,0.06837,98.4800034,28245.16602,,Farnes,,,,,
86,CEND0924,MFRN021,yes,Farnes,high,high,medium/high,55.4631,-1.199,0.001570176,3.815189019,0,3.816759195,0.8667643,1.9206762,1.5990065,9.94864,89.67679,0.37457,84.4499969,24054.33789,,Farnes,,,,,
87,CEND0924,MFRN022,yes,Farnes,high,high,medium/high,55.5055,-1.1076,0,5.863125631,0,5.887517615,0.8128543,1.8259578,1.4119625,13.38361,86.5605,0.05589,102.2200012,30167.37109,,Farnes,,,,,
88,CEND0924,MFRN023,yes,Farnes,high,high,medium/high,55.5352,-1.0434,0,5.019959347,0,5.019959347,0.7221465,1.8511246,1.4679666,10.30677,89.59213,0.1011,97.9599991,34624.32031,,Farnes,,,,,
89,CEND0924,MFRN024,yes,Farnes,high,high,high,55.5503,-1.011,0,3.752918011,0,3.752918011,0.6414525,1.9025085,1.3463885,9.55121,90.33425,0.11455,98.1699982,36654.76563,,Farnes,,,,,
90,CEND0924,MFRN026,yes,Farnes,high,high,low,55.3265,-1.0789,0.003119117,6.196975813,0,6.20009493,1.0107775,1.7591317,1.3483878,22.33197,77.61081,0.05722,92.5100021,31117.67773,,Farnes,,,,,
91,CEND0924,MFRN027,yes,Farnes,high,high,medium/high,55.4076,-0.8452,0,3.152146394,0,3.161879662,0.9058506,1.7578731,1.3667253,13.05548,86.75029,0.19424,96.1299973,46172.78516,,Farnes,,,,,
